Title,Release Date,Playtime,Metascore,Developer,Publisher,Age Rating,Genre,Platforms
Mario and Luigi: Bowser's Inside Story,"SEP 14, 2009",N/A,90,Nintendo,Nintendo,0+ Everyone,RPG,"Platforms
Nintendo DS"
Advance Wars 2: Black Hole Rising,"JUN 23, 2003",AVERAGE PLAYTIME: 3 HOURS,N/A,Nintendo,N/A,"Advance Wars 1+2: Re-Boot Camp, Advance Wars: Days of Ruin, Advance Wars: Dual Strike, Advance Wars, Super Famicom Wars, Game Boy Wars, Famicom Wars","Jun 23, 2003","Platforms
Wii U, Game Boy Advance"
DOOM II,"SEP 30, 1994",AVERAGE PLAYTIME: 1 HOUR,83,Bethesda Softworks,Valve,17+ Mature,"Action, Shooter","Platforms
Xbox One, iOS, PC, PlayStation 4, Game Boy Advance, Classic Macintosh, Android, macOS, Nintendo Switch, Xbox 360"
RimWorld,"JUL 15, 2016",AVERAGE PLAYTIME: 19 HOURS,87,Ludeon Studios,Ludeon Studios,Not rated,"Strategy, Simulation, Indie","Platforms
macOS, PC, Linux"
Zero Escape: Virtue's Last Reward,"FEB 16, 2012",AVERAGE PLAYTIME: 34 HOURS,N/A,Aksys Games,N/A,"Zero Escape: Zero Time Dilemma, 999: Nine Hours, Nine Persons, Nine Doors","Feb 16, 2012","Platforms
Nintendo 3DS, PS Vita"
Batman: Return to Arkham,"OCT 18, 2016",N/A,75,Warner Bros. Interactive,Warner Bros. Interactive,13+ Teen,"Action, Adventure","Platforms
PlayStation 4, Xbox One"
Hi-Fi Rush,"JAN 25, 2023",AVERAGE PLAYTIME: 4 HOURS,N/A,Bethesda Softworks,N/A,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack, Funny, Action-Adventure, Anime, Hack and Slash, Captions available, Colorful, Cyberpunk, Music, Cartoony, Character Action Game, Rhythm, Spectacle fighter, rhytm-based","Jan 25, 2023","Platforms
PC, PlayStation 5, Xbox Series S/X"
Gacha Club,"AUG 16, 2020",N/A,N/A,Lunime,N/A,"stats, Anime, Story, battle, party, offline, weapons, skill, Shadows, colors, tower, phone, gold, farm, app","Aug 16, 2020","Platforms
Android, iOS"
WWE SmackDown! Here Comes the Pain,"OCT 27, 2003",N/A,85,Yuke's Co,THQ,13+ Teen,"Arcade, Fighting","Platforms
PlayStation 2"
Castlevania Requiem: Symphony of the Night & Rondo of Blood,"OCT 26, 2018",N/A,74,Konami Digital Entertainment,Konami,13+ Teen,Action,"Platforms
PlayStation 4"
